mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,delta_mean_0,delta_mean_1,delta_mean_2,delta_mean_3,delta_mean_4,delta_mean_5,delta_mean_6,delta_mean_7,delta_mean_8,delta_mean_9,delta_mean_10,delta_mean_11,delta_mean_12,delta_std_0,delta_std_1,delta_std_2,delta_std_3,delta_std_4,delta_std_5,delta_std_6,delta_std_7,delta_std_8,delta_std_9,delta_std_10,delta_std_11,delta_std_12,delta2_mean_0,delta2_mean_1,delta2_mean_2,delta2_mean_3,delta2_mean_4,delta2_mean_5,delta2_mean_6,delta2_mean_7,delta2_mean_8,delta2_mean_9,delta2_mean_10,delta2_mean_11,delta2_mean_12,delta2_std_0,delta2_std_1,delta2_std_2,delta2_std_3,delta2_std_4,delta2_std_5,delta2_std_6,delta2_std_7,delta2_std_8,delta2_std_9,delta2_std_10,delta2_std_11,delta2_std_12,rmse_mean,rmse_std,spec_mean,spec_std,mel_mean,mel_std,emotion
0.70793146,0.45492068,-0.9823464,-0.10794272,-1.1539935,-0.07638371,-0.91838324,-1.5826662,0.6585257,0.7693652,-1.6600591,0.65067506,-1.865276,-1.1219277,1.0985984,1.3912936,1.5114032,0.07708787,0.04988088,-1.24277,1.3865962,1.676459,0.92378277,-1.3560975,0.8442539,1.2587174,-0.53454846,-0.47993168,-0.5554557,0.118637405,-0.013848945,0.92177165,1.5625805,1.3720062,-0.3422176,0.78779024,-0.08283877,1.1564156,0.7522417,-0.8744124,0.5492193,1.2302645,1.4098215,0.03323611,-0.47750223,-0.20827909,1.3127792,-0.009469867,0.7951391,-1.1794238,0.24654882,0.9682947,0.28512424,-0.02354075,1.4669352,0.39600846,-0.41192615,-0.4736711,-1.2202115,0.079453304,0.45015416,-0.83734226,0.28297418,0.5262378,1.2356412,-0.80863434,0.07185199,0.4767858,0.98327523,0.24698417,-0.85644954,-0.12793396,0.68182623,-0.74282134,0.38068146,-1.3078194,-0.18271908,0.28737167,0.23622589,-0.96320945,0.26985192,1.275034,0.7079318,-0.18601207,disgust
0.3459357,-0.14840163,-1.0550237,0.25121063,-1.0722425,0.10928964,0.09750492,-0.37800902,0.9304467,0.40996838,0.3814248,0.5016889,-0.42887333,-0.9608824,-0.093399376,-0.173726,1.0242361,-0.9135989,-0.7627377,1.8832449,0.35070294,0.44614503,0.96829736,-0.46092492,-0.3676,0.15674053,0.2321093,0.13933471,1.6795468,0.684309,1.0643193,0.2759898,0.602813,-1.4980166,0.25787607,-0.70103204,0.19885705,-1.0939516,0.18056901,-0.7345226,-0.5584414,-0.20318113,0.39984447,-0.6055531,-0.90799206,1.2651719,-0.31692487,0.3609495,0.78555775,-1.2292354,-0.29804263,0.1622183,-0.19538173,0.29161572,0.17586952,0.41537532,-0.16793749,-0.09288108,0.38098794,0.27242544,0.22361633,-1.0496452,0.08409869,-1.4863931,1.4468921,0.9801108,-0.460344,0.5443167,-0.024582174,-0.4673224,-0.29753456,-0.70876336,0.78282577,0.5874209,0.74540526,-0.753612,-0.07138734,0.057640076,-0.88090545,-0.76470834,0.30700603,-0.65030897,0.34593573,-1.3466667,angry
-0.016901389,0.48666278,-1.6217694,0.8858655,-1.0690463,-0.42057183,0.12305069,-1.1354368,0.85801554,-0.53131586,-0.73565185,0.60567147,-1.670448,-0.3354325,-0.2667549,1.4632723,-0.12917738,-0.30515325,0.096262835,0.089968614,-0.6295378,0.8010637,0.04209983,-0.8148027,0.026347408,0.6787629,-0.57574195,-0.005734963,0.106553234,1.0337456,1.0188061,-0.9536472,0.25539792,0.46059325,1.2124605,-0.6050501,-0.25719985,-0.5381303,-1.4439622,0.7904929,-0.6250799,1.3535643,0.6757246,-0.20131832,0.20575115,0.0890677,0.5656523,0.53582436,0.81116295,-0.9064236,0.37617773,0.90614927,-0.7023767,-0.62395215,-0.09560929,-0.61365604,-0.43247294,0.53998923,0.84740144,0.0034630797,-0.30869105,1.4759811,0.96892464,0.7723127,-0.33444023,0.41189396,-1.5790765,1.1357082,1.1225228,0.31951183,0.04142748,-0.2568364,0.73523,-0.31475294,0.91186327,-0.087636985,-0.5305583,1.0229157,-0.7151958,-0.9440328,-0.6686264,1.2916591,-0.016901126,0.3314599,happy
0.073557906,-1.8659676,-2.157255,-1.3316892,-1.9234347,-1.2367074,-0.34800735,-1.2219263,-0.52525955,-0.7876592,-1.50499,0.5454223,-1.3622601,-1.8954625,-2.3485167,-0.6587359,0.36553204,-0.85521686,-1.2785147,1.1219956,-0.34490234,0.2060151,0.96565115,0.6948437,-0.4470353,2.7055078,0.433431,0.5014711,-1.5078367,-0.92297757,-0.15707982,-2.1858647,-0.3842067,-0.49555698,0.6826834,-3.2074692,-1.4749981,-0.59263605,-0.40165177,-2.408545,-1.7613598,-0.6228097,-0.3746599,-0.7805955,-1.1261828,1.8540655,0.12823296,-0.54737693,1.8561946,-0.39254338,-0.7105845,2.4432266,0.6992964,0.31590945,-0.6932824,-0.56535774,0.4580339,0.3369325,0.15777807,-1.5586752,0.013422626,1.5279105,-0.6439466,-0.7822918,-0.18747713,-2.4595258,-1.627589,-0.77533275,0.12523234,-0.83846635,-1.23723,-0.22617562,0.5398701,-0.7932918,1.76862,0.41177133,-0.8273366,0.9901709,0.3133661,0.15337098,0.35676783,-2.1282911,0.073558345,-1.8385609,fearful
1.6145517,-0.67255723,-0.98192114,-1.0187057,-1.6948311,-1.235221,0.29195082,-0.90354913,-0.31830296,-1.3720624,-0.7729128,0.4577584,-1.0656561,-0.85560834,1.5898688,1.5411346,1.9302292,0.93068415,0.32044137,-0.38850674,0.7022387,1.0757732,0.07469353,-0.7022483,2.7212312,2.0961707,-1.1632789,-0.08816063,0.4226236,-2.2421052,0.11495069,-0.23909356,0.6203799,1.4379437,1.0842875,-1.0752225,0.92116547,0.9250388,2.8114362,0.5065221,0.835131,1.2368406,1.3308619,0.6659046,0.847484,0.50539726,0.99887383,0.41268456,0.54286456,0.11807765,2.1126256,2.52775,-0.76341766,-0.7780684,1.4282898,1.7954502,1.9941522,1.9762846,-1.581906,0.954916,-0.75733656,-0.86748827,0.315211,-2.7925518,2.5585027,0.5235463,0.4833807,0.48666427,0.012878353,-0.09780936,1.2176942,0.2287653,0.2666799,-0.5378307,0.94958395,0.5199001,2.5173955,2.7846212,1.6573462,-0.2712498,1.873231,0.91305006,1.6145513,-0.60056716,surprised
-1.0426614,-1.8211458,-2.0085511,-0.9086451,-1.7976569,-0.9586931,-0.15612774,-0.8721376,0.1517799,-0.11057662,-1.1184402,0.051738895,-1.1083758,-0.124896415,-1.9775165,-0.20151417,0.08156804,-0.54779434,-1.3383077,-0.05050843,-0.24588546,0.7301593,0.13809662,0.7200975,-0.86405027,2.8164272,0.8993496,0.06602294,0.32378414,-0.12569176,-0.27122533,-0.47596163,0.2474826,-0.25872344,-1.156334,-1.487594,-0.6065848,-0.1340994,-0.05088249,-0.6744352,-1.4083433,-0.2531822,-0.6901217,-0.82843596,-0.9828783,0.22584102,-0.21416959,-0.12250162,0.43871322,-0.014259909,-0.7762706,1.7893274,0.7311034,0.70551115,-0.35085428,-0.6884883,0.38722208,-0.044035614,-0.29385298,-0.98651177,-0.8770063,1.0986894,0.39895138,-0.5823145,1.4898195,-0.3957379,-1.3425015,-0.5508846,-0.2635358,-0.47480375,-1.0034611,-0.97474885,0.72989595,-0.31804234,0.7107606,0.108946964,-0.7023757,1.2169458,-0.9284403,-0.24225247,-0.7994169,-1.1231276,-1.0426608,-0.8081571,fearful
0.54022956,-1.258654,-1.5942694,-1.2442122,-1.480162,-0.86945564,-0.7365506,-1.4249479,0.19512811,-1.041747,-1.270586,-0.119513124,-1.5790998,-1.2684085,0.18394026,1.4809592,0.33211252,-0.53555095,-0.8939229,-0.9309604,-0.26702172,1.468642,-0.39416656,-1.0637286,1.1646593,0.26795438,-0.022392996,-0.7959116,-0.060212456,-0.42237747,0.61138713,0.31227362,0.8892332,0.6904032,-0.4387142,-2.1321952,-1.1313955,-0.76572037,0.9329618,-1.0192169,-0.0940155,1.3478916,0.89506924,-0.8986054,-0.74615616,-0.07638783,-0.41945672,0.8384235,0.04619574,-1.4711546,0.81579673,0.4315508,-0.8380758,0.14291489,1.8090155,1.3120483,-0.870079,0.23272066,-1.566713,0.05509802,1.2089858,1.1960627,0.27379215,-1.3867352,1.5505388,-0.6407286,0.23171705,1.0326821,0.6332117,-0.39564636,-0.43155578,-0.32052848,-0.5985308,-0.4828372,0.35579318,-2.1519287,0.28910974,1.2433826,0.57314444,-0.8365017,0.7125642,0.3622802,0.5402295,-0.9665874,fearful
0.10636984,0.17481424,-0.18274334,-0.42466837,-0.6967861,0.15908396,-0.3764946,-0.2838108,0.13757706,0.02865135,-0.6582123,-0.31644443,-1.2962061,-0.8074064,0.7631058,1.800826,-0.008259486,-0.63565046,-1.2592279,-0.9146985,-1.3478682,0.2283838,0.05476019,-1.6292343,-0.8228099,0.4533088,0.079221316,-0.27677163,-0.8215019,0.12198293,0.9255891,0.16120368,0.9986643,0.3187036,-0.08215883,0.4253031,-1.2549367,-1.0026476,-0.9816844,-0.21635589,1.2827998,1.7473847,0.1385729,-0.66381186,-0.9760272,-0.17612855,-1.1872845,0.23723476,-0.43455026,-1.0719355,-1.2102,1.2953411,-0.9632967,-0.8505601,0.3353269,0.032043956,0.8718497,0.19644794,0.8314348,1.3682812,-0.55526096,-0.84594274,1.0783776,1.1358774,1.6538943,0.039182726,1.9018275,0.74260694,0.20850903,-0.7234398,-1.0646479,-0.0052491925,-0.8255675,-0.93344593,-1.4236665,-1.2546839,-0.5285979,-0.15702443,-0.022786269,-0.5944641,-0.09561389,0.092088446,0.106370725,-0.5230966,calm
0.19570757,0.18222982,0.016458012,-0.11635382,-0.92414206,-0.30265012,-1.4406809,-1.1985625,-0.507368,-0.04396295,-1.492644,0.2995239,-1.6159629,-0.7328257,0.8698513,0.99919385,0.69262743,-0.4520634,-0.902768,-0.54972476,-0.6618935,0.1932713,-0.3865885,-1.0562702,-0.34799275,1.130433,0.6379382,0.42893943,-1.1570278,-0.8549821,0.1793643,0.252773,0.9995012,0.34387037,-0.1402823,-1.0462945,-0.99075305,-0.78388035,-1.1434097,-0.92380923,1.1108152,0.81724644,1.1766969,-0.37000355,-0.8016261,0.41845372,-0.14964011,0.12929398,-0.1483655,-0.6769952,-0.42482772,1.9842391,-0.42173728,-0.4868446,0.2794172,0.49357182,0.11811139,0.6961811,1.3982376,0.39448908,0.23406278,-0.67432123,1.2406193,-0.16349308,0.9548229,-0.017673623,0.98639613,0.1587772,1.5084498,-0.7499357,-0.0991017,1.3172073,1.3450888,0.07019764,-0.066089965,-0.11718924,-0.39706597,0.39038575,-0.21518523,-0.21306092,0.07418734,0.1634734,0.19570714,-0.5343973,sad
-1.2739116,-0.61093813,-2.0153124,0.08779751,-1.119398,-1.4322765,-0.21424504,-0.89490706,0.55707884,-0.7682941,-1.1277753,0.8881926,-2.0271182,0.25449046,-1.2213656,1.7442721,-0.7097095,0.8240875,-0.71449226,0.02287384,-0.2361957,-0.85458267,0.9297562,-0.8703574,1.0331941,1.0442365,-0.004817116,0.85508627,1.8317553,0.52264136,-0.07095846,0.78244036,-1.5240605,-0.56353515,-0.12290919,-0.88107055,0.6713832,-1.9159709,1.2448947,1.4185075,-1.3521806,1.6780843,-0.17109096,0.859934,-0.43449008,0.35441473,-0.99279106,-0.7100827,0.5608933,-0.9938383,1.3568558,0.69923884,0.788585,0.6521441,0.9045038,0.16560903,-0.8539211,-0.3778472,0.054441728,-0.26552686,-1.2064159,-0.3028272,1.3929144,-0.037962124,-0.93620795,0.7893284,-1.7153925,1.5832897,-0.39924452,0.6597349,-0.17732012,0.75965434,-0.48067245,-0.769387,0.34250858,-0.8242126,0.8171024,0.9002927,-1.6001016,-1.1575896,-1.5743433,0.5959399,-1.2739105,0.39647794,happy
